,V1,V2
france,3.687046,2.4974391
mali,3.5693188,2.5995643
pays,2.9142323,1.8848937
français,3.0933924,2.2871113
président,2.736542,1.80269
état,3.3655093,1.9196136
politique,2.8545015,2.3858058
sahel,1.9837744,1.4159089
armée,2.76687,1.7880375
monde,3.1598382,1.9034681
afrique,3.1937788,2.0839663
nord,2.9353654,1.7025332
militaire,3.093177,1.6631945
guerre,2.3747802,1.9140192
russie,2.1643841,1.4919735
traoré,2.8311296,2.0166144
région,2.9403615,1.2604064
chef,2.271381,1.486551
touareg,2.949236,1.3419152
mort,2.5845606,1.4414091
peul,2.229066,2.0669577
macron,1.7107075,1.2965729
mois,2.4016511,1.5587333
fois,2.2794418,2.287194
grand,2.8195739,2.1870565
attaque,1.6188693,1.5609266
place,1.9921541,1.5326209
facebook,3.1134255,1.4937617
question,2.5279634,1.1792419
groupe,2.3569615,2.1465688
niger,2.0761359,1.4205543
situation,2.265727,1.2357564
temps,2.4766665,1.8253995
burkina,1.8438896,1.5780648
barkhane,2.0057147,1.5500398
décembre,2.545034,1.9467872
syrie,2.234588,1.0476454
ministre,2.7671363,1.731362
islamique,2.592104,1.3746527
homme,2.4835837,1.2538117
opération,2.1087584,1.5937129
vie,2.868863,2.0767715
face,2.1715927,1.7098931
faso,2.1030118,0.88131684
force,2.0389674,1.7895229
fin,2.4275324,1.5590074
novembre,2.6562696,1.5876853
jour,2.9539032,1.8542693
gouvernement,1.8090186,1.1073875
coup,2.5443668,1.9566228
république,2.0763752,1.8901931
cas,2.6890492,1.8815734
partie,2.728419,1.2173275
réalité,2.2997243,1.7834498
sud,2.1450434,1.1635455
europe,2.4027119,1.1928488
fait,1.9435345,1.8393478
sécurité,2.3684173,1.8628098
juin,2.5785925,1.8345556
affaire,2.4471562,1.7237128
ancien,2.8426175,1.5593876
pouvoir,2.5811737,0.9376936
base,2.6821613,1.6692466
dernier,2.0380335,1.7445502
algérie,2.1358469,1.7777712
société,2.6634328,1.1680672
général,2.1946115,1.1981461
turquie,2.6472206,1.7629093
conflit,2.4942029,1.7019529
justice,2.716799,1.9383568
tchad,2.5254555,1.0811028
famille,2.121807,1.6578872
ag,2.0166295,1.9319812
américain,2.6810257,1.4935582
bamako,2.0955422,1.4389697
ghali,2.776894,0.9633503
janvier,2.261403,1.7153274
contrôle,1.9823735,1.7717637
moment,2.4324296,1.6083232
iyad,2.1347826,1.765188
otan,1.7991087,1.6908487
droit,2.0786572,1.2586151
compte,2.2507524,1.6486813
article,2.1307228,0.81691337
crise,2.5595782,1.7502259
assa,2.0277436,1.0079315
ouest,1.9730394,1.4387994
police,2.1301615,1.09198
israël,1.598391,1.1606495
équipe,2.3842986,1.2070409
terrorisme,1.3739913,1.4375458
zone,1.9773414,0.81886977
bernard,1.6140473,0.9015279
point,2.03118,0.8426176
lutte,2.0078344,1.0141482
combat,1.653315,1.0415646
part,1.946535,0.8025196
histoire,1.7787628,1.4003094
libye,1.8931538,0.9387395
paix,1.3745384,1.4454163
présence,1.4777472,1.1171473
russe,1.4561285,1.0618694
année,2.300827,1.6460263
nom,1.6483991,1.3303759
cours,1.2878209,1.4497505
cause,1.426182,0.948551
loi,2.101264,1.1467475
but,2.0778804,0.80611473
suite,1.8877343,1.5489857
lieu,1.4816251,1.0114919
chaîne,1.4010172,0.8827226
terrain,1.6010975,0.73952234
peine,1.9492362,0.8091421
malien,2.035996,1.3139375
joueur,1.8163097,1.5635352
début,1.9257993,0.71559924
intervention,1.1809703,0.9350794
bon,1.3059853,1.0762446
renseignement,1.5600741,1.2032428
sujet,1.4990588,0.87269384
septembre,1.4442202,1.2413477
jeu,1.6495688,1.4606056
irak,1.4596252,1.0844424
hôpital,1.9174773,1.0398155
problème,1.3334655,0.95681494
défense,1.5043782,0.8080467
sein,1.2847252,0.7198977
août,0.89097583,0.57897407
chaos,1.3074087,0.7083433
emmanuel,1.1110228,0.83530754
presse,1.6874627,0.7985237
ville,2.0515254,1.1822509
liberté,1.2706803,1.5966204
adama,2.0271678,1.3041459
action,1.129843,1.2679948
mai,1.5676447,1.2014515
ordre,1.8164761,1.120696
manière,1.3272206,1.4021003
livre,1.8623228,1.0960997
prise,1.404385,1.0379697
entier,1.1103654,0.2660104
lugan,0.37088004,0.5301276
décision,1.5375656,0.703727
haine,1.2298622,0.6035394
départ,1.7665986,0.9036489
figaro,1.3234404,1.3342577
origine,1.9981037,0.78716516
propre,1.8176818,1.197535
service,1.6953151,0.94023377
daech,1.7666054,0.5402054
ministère,1.0167332,1.4165521
communauté,1.5733148,0.95309097
enquête,1.994526,0.9580296
avril,1.3417169,1.125723
intérieur,1.6852449,0.5623367
ethnique,1.8337677,1.1428833
travers,1.5132691,0.5485312
niveau,1.8864071,0.840732
stratégie,1.7161244,0.5777212
haut,1.1565155,1.3805331
raison,1.5920168,0.898213
discours,1.8461621,1.3623748
sens,0.98030895,1.0969887
exemple,1.6540136,1.0838684
islamisme,1.3421991,0.8615072
démocratie,1.5209891,0.8000343
terme,1.1189601,0.8707009
décès,1.7721866,1.4582475
droite,2.064912,0.7622982
trump,1.0217847,1.4941474
urgence,1.5412235,1.1455567
commission,1.7883643,0.8487569
ensemble,1.8950841,1.1384035
union,1.5338874,0.7978065
sol,1.258779,0.8144008
influence,1.4887024,0.8373209
contraire,0.9242615,0.448894
régional,1.0114231,0.85894114
halimi,1.4709774,1.3854066
acte,1.6188939,0.6834335
conseil,1.2795296,1.0995421
milieu,1.7554848,0.8517154
élection,1.5152856,0.57621485
mouvement,1.2307959,1.2737132
washington,1.4200801,0.52282226
football,1.8154253,0.78830725
ennemi,1.1832166,1.3402497
rapport,1.0580134,0.52917385
tête,1.0250471,1.2262987
britannique,1.2615601,1.1286882
âge,1.2286122,1.2873385
françois,1.4947691,0.9957632
octobre,1.2115431,0.70745677
violence,1.7271773,1.1197025
koufa,1.1252159,0.3277895
soutien,0.93875605,0.82358044
directeur,1.3930185,0.8175208
actuel,1.6056681,0.7276859
national,1.7471758,0.5824725
nuit,1.2597239,0.640203
